prompt,expected_user_response,notes_for_ai,stage,level,prompt_id
Hello! What's your name?,My name is [user's name]. / I am [user's name].,Accept either full sentence or just the name.,Beginner,L1,1
Nice to meet you! How are you today?,I am good. / Good. / Happy. / Fine.,Any simple positive or neutral feeling is great.,Beginner,L1,2
Where are you from?,I am from [country]. / [Country].,"Full sentence is ideal, but country name alone is acceptable.",Beginner,L1,3
Do you like to learn English?,"Yes, I do. / Yes. / Yes, I like.","Focus on the ""Yes/No"" comprehension. ""Yes, I like"" is a common beginner phrasing.",Beginner,L1,4
What is your favorite color?,My favorite color is blue. / Blue.,Accept the color name.,Beginner,L1,5
"Can you say ""hello"" in English?",Hello!,Simple repetition.,Beginner,L1,6
What is this? (AI shows a picture of a book),It is a book. / Book.,Focus on naming the object.,Beginner,L1,7
Is this a chair? (AI shows a table),"No, it is not. / No. / No, it is table.","Check for ""No"" and basic identification. Imperfect sentence is fine.",Beginner,L1,8
Do you have a pet?,"Yes, I have a dog. / No, I don't. / Yes. / No.","Simple ""Yes/No"" or basic pet identification.",Beginner,L1,9
What is one thing you like to eat?,I like pizza. / Pizza. / Rice.,Food item is sufficient.,Beginner,L1,10
Are you a student?,"Yes, I am. / Yes. / No, I am not.","Focus on ""Yes/No"" and basic self-identification.",Beginner,L1,11
What is your job?,I am a student. / I am a doctor. / I don't have job.,Simple job title or stating they don't have one.,Beginner,L1,12
How many brothers or sisters do you have?,I have one brother. / I have two sisters. / Zero.,"Numbers and basic family terms. ""Zero"" is fine.",Beginner,L1,13
What time is it now? (AI shows 9:00),It is nine o'clock. / Nine.,Accept the number.,Beginner,L1,14
Do you like coffee or tea?,I like coffee. / Coffee. / Both.,Simple preference.,Beginner,L1,15
Can you count to five?,"One, two, three, four, five.",Literal counting.,Beginner,L1,16
What sound does a dog make?,Woof woof. / Bark.,Simple animal sound.,Beginner,L1,17
Is the sky blue?,"Yes, it is. / Yes.","Simple ""Yes"" confirms understanding.",Beginner,L1,18
Do you speak another language? What is it?,"Yes, I speak [language]. / Yes, [language]. / No.","Accept language name or simple ""No.""",Beginner,L1,19
What is your favorite animal?,My favorite animal is cat. / Cat.,Animal name is sufficient.,Beginner,L1,20
Are you happy to learn English today?,"Yes, I am happy. / Yes. / Happy.",Reinforce positive feelings towards learning.,Beginner,L1,21
Can you tell me your name again?,My name is [user's name]. / [User's name].,Simple repetition of their name.,Beginner,L1,22
What is one word you know in English?,Apple. / Water. / Thank you.,Any single English word they can recall.,Beginner,L1,23
Is it cold or hot where you are?,It is hot. / Hot. / Cold.,Simple weather description.,Beginner,L1,24
"Thank you for talking with me! Can you say ""goodbye"" in English?",Goodbye! / Bye!,Simple farewell.,Beginner,L1,25
Hi again! What did you do yesterday?,"Yesterday, I worked. / I watched TV. / I cooked dinner.",Looking for simple past tense (regular verbs). AI can prompt if irregular verb is used incorrectly or rephrase.,Beginner,L2,26
What do you usually do on weekends?,I usually relax. / I go to the park. / I sleep a lot.,"Focus on present simple, common activities.",Beginner,L2,27
Can you tell me about your family?,I have a mother and a father. / I have two sisters. / My family is small.,Simple descriptions of family members.,Beginner,L2,28
What kind of music do you like?,I like pop music. / I like classical. / I like [artist name].,Simple genre or artist.,Beginner,L2,29
What's your favorite animal and why?,"I like dogs because they are friendly. / I like cats, they are cute.","Encouraging ""because"" for simple reasoning.",Beginner,L2,30
Do you like to cook? What's your favorite food to make?,"Yes, I like to cook. I make pasta. / No, I don't like to cook.","Simple ""yes/no"" with a short follow-up or reason.",Beginner,L2,31
What is the weather like today where you are?,It is sunny and hot. / It is rainy. / It is cloudy.,"Basic weather vocabulary and ""It is..."" structure.",Beginner,L2,32
Where do you live? Can you describe your house or apartment simply?,I live in a house. It is big. / I live in an apartment. It has two rooms.,Simple description with basic adjectives.,Beginner,L2,33
What foods do you eat for breakfast?,I eat bread and coffee. / I eat eggs. / I like cereal for breakfast.,Simple food items.,Beginner,L2,34
What are you going to do tomorrow?,I am going to work. / I am going to see a friend. / I will study.,"Introduction to ""going to"" for future plans or simple ""will"".",Beginner,L2,35
Do you play any sports or have a hobby?,"Yes, I play football. / My hobby is reading. / No, I don't.",Simple sports/hobby names.,Beginner,L2,36
What do you like to do in the evenings?,I like to watch TV. / I read a book. / I sleep.,Focus on evening activities.,Beginner,L2,37
Can you tell me about one friend you have?,My friend is [name]. He is nice. / She is from [country].,Simple description of a person.,Beginner,L2,38
What time do you usually wake up?,I usually wake up at 7 o'clock. / I wake up at 6 AM.,"Using ""at"" for time.",Beginner,L2,39
What is something you want to learn in the future?,I want to learn Spanish. / I want to learn to play guitar.,"Using ""want to.""",Beginner,L2,40
